ID,Route,Sub-route / Section,Interaction / Element,Event Type,Event Name,Event JSON (event_data payload),Description,Priority,Already Implemented
117,/fcrs > detail > PINS,Collapse PINS section behaviors (▲ Hide),button_click,fcrs_detail_pins_section_collapsed,"{""button"": ""pins_section_behaviors_collapse"", ""section"": ""{{P|I|N|S}}"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User collapses a PINS section behavior detail after viewing.,Low,No
118,/fcrs > detail > Q&A,Toggle All Q&A section (expand),button_click,fcrs_detail_qa_expanded,"{""button"": ""all_qa_toggle"", ""state"": ""expanded"", ""question_count"": ""{{count}}"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User expands the 'All Questions & Answers' section in the FCR detail panel.,Medium,No
119,/fcrs > detail > Q&A,Toggle All Q&A section (collapse),button_click,fcrs_detail_qa_collapsed,"{""button"": ""all_qa_toggle"", ""state"": ""collapsed"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User collapses the All Q&A section.,Low,No
120,/fcrs > detail > Error,Retry button in detail load error state,button_click,fcrs_detail_retry_clicked,"{""button"": ""retry_detail_load"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User retries loading FCR detail after an error (timeout or network failure).,Medium,No
121,/fcrs > detail > Error,Close panel from error/no-data state,button_click,fcrs_detail_close_error_state,"{""button"": ""close_error_panel"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User closes the FCR detail panel while it is in an error or empty state.,Low,No
122,/askai,Page Load,Page view,page_view,askai_page_view,"{""page"": ""askai"", ""url"": ""/askai""}",User views the Ask AI conversational insights page.,High,Yes
123,/askai,Role Filter Pills,Select 'All' role,filter_applied,askai_role_filter_all,"{""filter"": ""role"", ""value"": ""all"", ""label"": ""All"", ""page"": ""askai""}",User selects the All role pill — shows questions for all roles.,Medium,No
124,/askai,Role Filter Pills,Select 'HR / Talent' role,filter_applied,askai_role_filter_hr,"{""filter"": ""role"", ""value"": ""hr"", ""label"": ""HR / Talent"", ""page"": ""askai""}",User filters suggested questions by HR / Talent role.,Medium,No
125,/askai,Role Filter Pills,Select 'Field Director' role,filter_applied,askai_role_filter_director,"{""filter"": ""role"", ""value"": ""director"", ""label"": ""Field Director"", ""page"": ""askai""}",User filters suggested questions by Field Director role.,Medium,No
126,/askai,Role Filter Pills,Select 'MSL Leader' role,filter_applied,askai_role_filter_msl,"{""filter"": ""role"", ""value"": ""msl"", ""label"": ""MSL Leader"", ""page"": ""askai""}",User filters by MSL Leader role.,Medium,No
127,/askai,Role Filter Pills,Select 'L&D' role,filter_applied,askai_role_filter_ld,"{""filter"": ""role"", ""value"": ""ld"", ""label"": ""L&D"", ""page"": ""askai""}",User filters by L&D (Learning & Development) role.,Medium,No
128,/askai,Try Suggestion Pills,Click suggestion: 'How many FCRs written this quarter?',suggestion_clicked,askai_suggestion_fcr_count_quarter,"{""suggestion"": ""How many FCRs were written this quarter?"", ""trigger"": ""try_pill"", ""page"": ""askai""}",User clicks the pre-built FCR count suggestion pill.,High,No
129,/askai,Try Suggestion Pills,Click suggestion: 'Which region has most coaching activity?',suggestion_clicked,askai_suggestion_region_activity,"{""suggestion"": ""Which region has the most coaching activity?"", ""trigger"": ""try_pill"", ""page"": ""askai""}",User clicks the region coaching activity suggestion pill.,High,No
130,/askai,Try Suggestion Pills,Click suggestion: 'Top 5 reps by FCR count',suggestion_clicked,askai_suggestion_top_reps,"{""suggestion"": ""Top 5 reps by FCR count"", ""trigger"": ""try_pill"", ""page"": ""askai""}",User clicks the Top 5 reps by FCR count suggestion pill.,High,No
131,/askai,Suggested Cards,Click ADOPTION card,suggestion_clicked,askai_suggested_card_adoption_clicked,"{""category"": ""ADOPTION"", ""question"": ""How many FCRs were written this quarter?"", ""trigger"": ""suggested_card"", ""page"": ""askai""}",User clicks the ADOPTION suggested card to submit its pre-filled question to the AI.,High,No
132,/askai,Suggested Cards,Click GEOGRAPHY card,suggestion_clicked,askai_suggested_card_geography_clicked,"{""category"": ""GEOGRAPHY"", ""question"": ""Which region has the most coaching activity in the past 30 days?"", ""trigger"": ""suggested_card"", ""page"": ""askai""}",User clicks the GEOGRAPHY suggested card.,High,No
133,/askai,Suggested Cards,Click REP RANKING card,suggestion_clicked,askai_suggested_card_rep_ranking_clicked,"{""category"": ""REP RANKING"", ""question"": ""Show me the top 10 reps by number of FCRs written"", ""trigger"": ""suggested_card"", ""page"": ""askai""}",User clicks the REP RANKING suggested card.,High,No
134,/askai,AI Chat Input,Submit query via Enter key,ai_query_submitted,askai_query_submitted_enter,"{""query"": ""{{user_question}}"", ""trigger"": ""enter_key"", ""conversation_turn"": ""{{turn_number}}"", ""is_followup"": ""{{true|false}}"", ""page"": ""askai""}",User submits a natural-language question to the AI engine via Enter key.,High,No
135,/askai,AI Chat Input,Submit query via Ask AI button click,ai_query_submitted,askai_query_submitted_button,"{""query"": ""{{user_question}}"", ""trigger"": ""button_click"", ""conversation_turn"": ""{{turn_number}}"", ""is_followup"": ""{{true|false}}"", ""page"": ""askai""}",User submits AI query by clicking the Ask AI send button.,High,No
136,/askai,Conversation,New conversation / reset button click,button_click,askai_new_conversation_clicked,"{""button"": ""new_conversation"", ""prev_turn_count"": ""{{turns}}"", ""page"": ""askai""}",User resets the AI conversation and starts a new one.,High,No
137,/reference,Page Load,Page view,page_view,reference_page_view,"{""page"": ""reference"", ""url"": ""/reference""}",User views the PINS framework and FBMS skills reference page.,Medium,Yes
138,/reference,Export,Export button click,button_click,reference_export_clicked,"{""button"": ""export"", ""page"": ""reference""}",User clicks the Export button on the Reference page (currently shows a dropdown).,High,No
139,/activity [legacy],Page Load,Page view (dev / legacy route),page_view,activity_page_view,"{""page"": ""activity"", ""url"": ""/activity""}",User views the Activity page (exists in codebase but not in sidebar navigation — dev/legacy).,Low,No
140,/activity [legacy],Tabs,Switch to 'Adoption Snapshot' tab,tab_changed,activity_tab_adoption_snapshot,"{""tab"": ""Adoption Snapshot"", ""page"": ""activity""}",User clicks the Adoption Snapshot tab on the Activity page.,Medium,No
141,/activity [legacy],Tabs,Switch to 'Submissions Trend' tab,tab_changed,activity_tab_submissions_trend,"{""tab"": ""Submissions Trend"", ""page"": ""activity""}",User clicks the Submissions Trend tab.,Medium,No
142,/activity [legacy],Tabs,Switch to 'Coverage by Org' tab,tab_changed,activity_tab_coverage_org,"{""tab"": ""Coverage by Org"", ""page"": ""activity""}",User clicks the Coverage by Org tab.,Medium,No
143,/activity [legacy],Tabs,Switch to 'Alerts (10)' tab,tab_changed,activity_tab_alerts,"{""tab"": ""Alerts"", ""page"": ""activity""}",User clicks the Alerts tab on Activity page.,Medium,No
144,/activity [legacy],Export,Export button click,button_click,activity_export_opened,"{""button"": ""export"", ""page"": ""activity""}",User opens the export dropdown on Activity page.,High,No
145,/activity [legacy],Export > CSV,Download as CSV,data_export,activity_export_csv_downloaded,"{""format"": ""csv"", ""record_count"": ""{{count}}"", ""page"": ""activity""}",User downloads FCR activity data as CSV file.,High,No
146,/activity [legacy],Chart Toggle,Switch to Daily view,button_click,activity_chart_toggle_daily,"{""button"": ""chart_toggle"", ""value"": ""Daily"", ""page"": ""activity""}",User switches submissions over time chart to Daily granularity.,Medium,No
147,/activity [legacy],Chart Toggle,Switch to Monthly view,button_click,activity_chart_toggle_monthly,"{""button"": ""chart_toggle"", ""value"": ""Monthly"", ""page"": ""activity""}",User switches submissions over time chart to Monthly granularity.,Medium,No
148,/activity [legacy],Alert Chips,Click '3 high' severity chip (filter overdue),filter_applied,activity_alert_chip_high_clicked,"{""filter"": ""alert_severity"", ""value"": ""overdue"", ""label"": ""3 high"", ""page"": ""activity""}",User clicks the high-severity alert chip to filter FCRs to overdue status.,Medium,No
149,/activity [legacy],Alert Chips,Click '4 medium' severity chip (filter draft),filter_applied,activity_alert_chip_medium_clicked,"{""filter"": ""alert_severity"", ""value"": ""draft"", ""label"": ""4 medium"", ""page"": ""activity""}",User clicks the medium-severity alert chip to filter FCRs to draft status.,Medium,No
150,/activity [legacy],Alert Chips,Click '3 low' severity chip (filter submitted),filter_applied,activity_alert_chip_low_clicked,"{""filter"": ""alert_severity"", ""value"": ""submitted"", ""label"": ""3 low"", ""page"": ""activity""}",User clicks the low-severity alert chip to filter FCRs to submitted status.,Medium,No
151,/activity [legacy],Ask AI (Chart),Ask AI button in Submissions chart section,button_click,activity_chart_ask_ai_clicked,"{""button"": ""ask_ai"", ""context"": ""submissions_chart"", ""page"": ""activity""}",User clicks the Ask AI button within the Submissions Over Time chart card.,High,No
152,/activity [legacy],Ask AI (Coverage),Ask AI button in Coverage by Org section,button_click,activity_coverage_ask_ai_clicked,"{""button"": ""ask_ai"", ""context"": ""coverage_by_org"", ""page"": ""activity""}",User clicks Ask AI button within the Coverage by Supervisory Org section.,High,No
153,/activity [legacy],Search,Search input in FCR table,search,activity_search_fcrs,"{""query"": ""{{search_text}}"", ""page"": ""activity""}",User types in the FCR search box to filter the Recent FCRs table.,High,No
154,/activity [legacy],Table,FCR ID link click (row detail view),link_click,activity_fcr_id_link_clicked,"{""fcr_id"": ""{{fcr_id}}"", ""page"": ""activity""}",User clicks an FCR ID link in the activity table to view full report detail.,High,No
155,/activity [legacy],Table,Manager name click (filter by manager),filter_applied,activity_manager_name_clicked,"{""filter"": ""manager"", ""manager_name"": ""{{name}}"", ""page"": ""activity""}",User clicks a manager name link to filter the table by that manager.,Medium,No
156,/activity [legacy],Table,MSL name click (filter by MSL),filter_applied,activity_msl_name_clicked,"{""filter"": ""msl"", ""msl_name"": ""{{name}}"", ""page"": ""activity""}",User clicks an MSL name link to filter the table by that MSL.,Medium,No
157,/activity [legacy],Coaching Adoption Card,Calendar icon click,button_click,activity_calendar_icon_clicked,"{""button"": ""calendar"", ""context"": ""coaching_adoption_card"", ""page"": ""activity""}",User clicks the Calendar icon in the Coaching Adoption card header.,Low,No
158,/activity [legacy],Coaching Adoption Card,Filter icon click,button_click,activity_filter_icon_clicked,"{""button"": ""filter"", ""context"": ""coaching_adoption_card"", ""page"": ""activity""}",User clicks the Filter icon in the Coaching Adoption card header.,Low,No
159,/activity [legacy],Coaching Adoption Card,Refresh icon click,button_click,activity_refresh_icon_clicked,"{""button"": ""refresh"", ""context"": ""coaching_adoption_card"", ""page"": ""activity""}",User clicks the Refresh/sync icon in the Coaching Adoption card header.,Medium,No
160,/activity [legacy],Coverage Table,Supervisory Org link click,link_click,activity_org_link_clicked,"{""org"": ""{{org_name}}"", ""active_pct"": ""{{pct}}"", ""page"": ""activity""}",User clicks a supervisory org link in the Coverage by Supervisory Org table.,Medium,No
161,global/session,Session Events,Session start (after SSO + consent),session_event,session_started,"{""user_id"": ""{{email}}"", ""user_name"": ""{{name}}"", ""user_email"": ""{{email}}"", ""session_id"": ""{{id}}""}",Session begins after user successfully authenticates via SSO.,High,Yes
162,global/session,Session Events,Browser / tab closed,session_event,browser_closed,"{""session_id"": ""{{id}}"", ""session_duration_ms"": ""{{ms}}""}",User closes the browser or navigates away — captured via beforeunload.,High,Yes
163,global/session,Session Events,User logout (session end),session_event,user_logged_out,"{""user_id"": ""{{email}}"", ""session_duration_ms"": ""{{ms}}"", ""logout_location"": ""{{sidebar|topbar}}""}",User explicitly logs out — important for session duration measurement.,High,No
